;Invoice ID;Branch;City;Customer type;Gender;Product line;Unit price;Quantity;Tax 5%;Total;Date;Time;Payment;cogs;gross margin percentage;gross income;Rating
29;848-62-7243;A;Mirassol;Normal;Masculino;Saúde e beleza;24,89;9;11,2005;235,2105;3/15/2023;15:36;Dinheiro;224,01;4,761904762;11,2005;7,4
30;871-79-8483;B;Nova Granada;Normal;Masculino;Acessórios de moda;94,13;5;23,5325;494,1825;2/25/2023;19:39;Cartão de credito;470,65;4,761904762;23,5325;4,8
31;149-71-6266;B;Nova Granada;Membro;Masculino;Esportes e viagens;78,07;9;35,1315;737,7615;1/28/2023;12:43;Dinheiro;702,63;4,761904762;35,1315;4,5
32;640-49-2076;B;Nova Granada;Normal;Masculino;Esportes e viagens;83,78;8;33,512;703,752;01/10/2023;14:49;Dinheiro;670,24;4,761904762;33,512;5,1
33;595-11-5460;A;Mirassol;Normal;Masculino;Saúde e beleza;96,58;2;9,658;202,818;3/15/2023;10:12;Cartão de credito;193,16;4,761904762;9,658;5,1
34;183-56-6882;C;São Jose do rio preto;Membro;Feminino;Alimentos e bebidas;99,42;4;19,884;417,564;02/06/2023;10:42;Carteira eletrônica;397,68;4,761904762;19,884;7,5
35;232-16-2483;C;São Jose do rio preto;Membro;Feminino;Esportes e viagens;68,12;1;3,406;71,526;01/07/2023;12:28;Carteira eletrônica;68,12;4,761904762;3,406;6,8
36;129-29-8530;A;Mirassol;Membro;Masculino;Esportes e viagens;62,62;5;15,655;328,755;03/10/2023;19:15;Carteira eletrônica;313,1;4,761904762;15,655;7
37;272-65-1806;A;Mirassol;Normal;Feminino;Acessorios Eletronicos;60,88;9;27,396;575,316;1/15/2023;17:17;Carteira eletrônica;547,92;4,761904762;27,396;4,7
38;333-73-7901;C;São Jose do rio preto;Normal;Feminino;Saúde e beleza;54,92;8;21,968;461,328;3/23/2023;13:24;Carteira eletrônica;439,36;4,761904762;21,968;7,6
39;777-82-7220;B;Nova Granada;Membro;Masculino;Casa e estilo de vida;30,12;8;12,048;253,008;03/03/2023;13:01;Dinheiro;240,96;4,761904762;12,048;7,7
40;280-35-5823;B;Nova Granada;Membro;Feminino;Casa e estilo de vida;86,72;1;4,336;91,056;1/17/2023;18:45;Carteira eletrônica;86,72;4,761904762;4,336;7,9
41;554-53-8700;C;São Jose do rio preto;Membro;Masculino;Casa e estilo de vida;56,11;2;5,611;117,831;02/02/2023;10:11;Dinheiro;112,22;4,761904762;5,611;6,3
42;354-25-5821;B;Nova Granada;Membro;Feminino;Esportes e viagens;69,12;6;20,736;435,456;02/08/2023;13:03;Dinheiro;414,72;4,761904762;20,736;5,6
43;228-96-1411;C;São Jose do rio preto;Membro;Feminino;Alimentos e bebidas;98,7;8;39,48;829,08;03/04/2023;20:39;Dinheiro;789,6;4,761904762;39,48;7,6
44;617-15-4209;C;São Jose do rio preto;Membro;Masculino;Saúde e beleza;15,37;2;1,537;32,277;3/16/2023;19:47;Dinheiro;30,74;4,761904762;1,537;7,2
45;132-32-9879;B;Nova Granada;Membro;Feminino;Acessorios Eletronicos;93,96;4;18,792;394,632;03/09/2023;18:00;Dinheiro;375,84;4,761904762;18,792;9,5
46;370-41-7321;B;Nova Granada;Membro;Masculino;Saúde e beleza;56,69;9;25,5105;535,7205;2/27/2023;17:24;Cartão de credito;510,21;4,761904762;25,5105;8,4
47;727-46-3608;B;Nova Granada;Membro;Feminino;Alimentos e bebidas;20,01;9;9,0045;189,0945;02/06/2023;15:47;Carteira eletrônica;180,09;4,761904762;9,0045;4,1
48;669-54-1719;B;Nova Granada;Membro;Masculino;Acessorios Eletronicos;18,93;6;5,679;119,259;02/10/2023;12:45;Cartão de credito;113,58;4,761904762;5,679;8,1
49;574-22-5561;C;São Jose do rio preto;Membro;Feminino;Acessórios de moda;82,63;10;41,315;867,615;3/19/2023;17:08;Carteira eletrônica;826,3;4,761904762;41,315;7,9
50;326-78-5178;C;São Jose do rio preto;Membro;Masculino;Alimentos e bebidas;91,4;7;31,99;671,79;02/03/2023;10:19;Dinheiro;639,8;4,761904762;31,99;9,5
51;162-48-8011;A;Mirassol;Membro;Feminino;Alimentos e bebidas;44,59;5;11,1475;234,0975;02/10/2023;15:10;Dinheiro;222,95;4,761904762;11,1475;8,5
52;616-24-2851;B;Nova Granada;Membro;Feminino;Acessórios de moda;17,87;4;3,574;75,054;3/22/2023;14:42;Carteira eletrônica;71,48;4,761904762;3,574;6,5
53;778-71-5554;C;São Jose do rio preto;Membro;Masculino;Acessórios de moda;15,43;1;0,7715;16,2015;1/25/2023;15:46;Cartão de credito;15,43;4,761904762;0,7715;6,1
54;242-55-6721;B;Nova Granada;Normal;Masculino;Casa e estilo de vida;16,16;2;1,616;33,936;03/07/2023;11:49;Carteira eletrônica;32,32;4,761904762;1,616;6,5
55;399-46-5918;C;São Jose do rio preto;Normal;Feminino;Acessorios Eletronicos;85,98;8;34,392;722,232;2/28/2023;19:01;Dinheiro;687,84;4,761904762;34,392;8,2
56;106-35-6779;A;Mirassol;Membro;Masculino;Casa e estilo de vida;44,34;2;4,434;93,114;3/27/2023;11:26;Dinheiro;88,68;4,761904762;4,434;5,8
57;635-40-6220;A;Mirassol;Normal;Masculino;Saúde e beleza;89,6;8;35,84;752,64;02/07/2023;11:28;Carteira eletrônica;716,8;4,761904762;35,84;6,6
58;817-48-8732;A;Mirassol;Membro;Feminino;Casa e estilo de vida;72,35;10;36,175;759,675;1/20/2023;15:55;Dinheiro;723,5;4,761904762;36,175;5,4
59;120-06-4233;C;São Jose do rio preto;Normal;Masculino;Acessorios Eletronicos;30,61;6;9,183;192,843;03/12/2023;20:36;Dinheiro;183,66;4,761904762;9,183;9,3
60;285-68-5083;C;São Jose do rio preto;Membro;Feminino;Esportes e viagens;24,74;3;3,711;77,931;2/15/2023;17:47;Cartão de credito;74,22;4,761904762;3,711;10
61;803-83-5989;C;São Jose do rio preto;Normal;Masculino;Casa e estilo de vida;55,73;6;16,719;351,099;2/24/2023;10:55;Carteira eletrônica;334,38;4,761904762;16,719;7
62;347-34-2234;B;Nova Granada;Membro;Feminino;Esportes e viagens;55,07;9;24,7815;520,4115;02/03/2023;13:40;Carteira eletrônica;495,63;4,761904762;24,7815;10
63;199-75-8169;A;Mirassol;Membro;Masculino;Esportes e viagens;15,81;10;7,905;166,005;03/06/2023;12:27;Cartão de credito;158,1;4,761904762;7,905;8,6
64;853-23-2453;B;Nova Granada;Membro;Masculino;Saúde e beleza;75,74;4;15,148;318,108;2/14/2023;14:35;Dinheiro;302,96;4,761904762;15,148;7,6
65;877-22-3308;A;Mirassol;Membro;Masculino;Saúde e beleza;15,87;10;7,935;166,635;3/13/2023;16:40;Dinheiro;158,7;4,761904762;7,935;5,8
66;838-78-4295;C;São Jose do rio preto;Normal;Feminino;Saúde e beleza;33,47;2;3,347;70,287;02/10/2023;15:43;Carteira eletrônica;66,94;4,761904762;3,347;6,7
67;109-28-2512;B;Nova Granada;Membro;Feminino;Acessórios de moda;97,61;6;29,283;614,943;01/07/2023;15:01;Carteira eletrônica;585,66;4,761904762;29,283;9,9
68;232-11-3025;A;Mirassol;Normal;Masculino;Esportes e viagens;78,77;10;39,385;827,085;1/24/2023;10:04;Dinheiro;787,7;4,761904762;39,385;6,4
69;382-03-4532;A;Mirassol;Membro;Feminino;Saúde e beleza;18,33;1;0,9165;19,2465;02/02/2023;18:50;Dinheiro;18,33;4,761904762;0,9165;4,3
70;393-65-2792;C;São Jose do rio preto;Normal;Masculino;Alimentos e bebidas;89,48;10;44,74;939,54;01/06/2023;12:46;Cartão de credito;894,8;4,761904762;44,74;9,6
71;796-12-2025;C;São Jose do rio preto;Normal;Masculino;Acessórios de moda;62,12;10;31,06;652,26;02/11/2023;16:19;Dinheiro;621,2;4,761904762;31,06;5,9
72;510-95-6347;B;Nova Granada;Membro;Feminino;Alimentos e bebidas;48,52;3;7,278;152,838;03/05/2023;18:17;Carteira eletrônica;145,56;4,761904762;7,278;4
73;841-35-6630;C;São Jose do rio preto;Normal;Feminino;Acessorios Eletronicos;75,91;6;22,773;478,233;03/09/2023;18:21;Dinheiro;455,46;4,761904762;22,773;8,7
74;287-21-9091;A;Mirassol;Normal;Masculino;Casa e estilo de vida;74,67;9;33,6015;705,6315;1/22/2023;10:55;Carteira eletrônica;672,03;4,761904762;33,6015;9,4
75;732-94-0499;C;São Jose do rio preto;Normal;Feminino;Acessorios Eletronicos;41,65;10;20,825;437,325;1/13/2023;17:04;Cartão de credito;416,5;4,761904762;20,825;5,4
76;263-10-3913;C;São Jose do rio preto;Membro;Masculino;Acessórios de moda;49,04;9;22,068;463,428;01/09/2023;14:20;Cartão de credito;441,36;4,761904762;22,068;8,6
77;381-20-0914;A;Mirassol;Membro;Feminino;Acessórios de moda;20,01;9;9,0045;189,0945;01/12/2023;15:48;Cartão de credito;180,09;4,761904762;9,0045;5,7
78;829-49-1914;C;São Jose do rio preto;Membro;Feminino;Alimentos e bebidas;78,31;10;39,155;822,255;03/05/2023;16:24;Carteira eletrônica;783,1;4,761904762;39,155;6,6
79;756-01-7507;C;São Jose do rio preto;Normal;Feminino;Saúde e beleza;20,38;5;5,095;106,995;1/22/2023;18:56;Dinheiro;101,9;4,761904762;5,095;6
80;870-72-4431;C;São Jose do rio preto;Normal;Feminino;Saúde e beleza;99,19;6;29,757;624,897;1/21/2023;14:42;Cartão de credito;595,14;4,761904762;29,757;5,5
81;847-38-7188;B;Nova Granada;Normal;Feminino;Alimentos e bebidas;96,68;3;14,502;304,542;1/26/2023;19:56;Carteira eletrônica;290,04;4,761904762;14,502;6,4
82;480-63-2856;C;São Jose do rio preto;Normal;Masculino;Alimentos e bebidas;19,25;8;7,7;161,7;1/23/2023;18:37;Carteira eletrônica;154;4,761904762;7,7;6,6
83;787-56-0757;C;São Jose do rio preto;Membro;Feminino;Alimentos e bebidas;80,36;4;16,072;337,512;2/23/2023;18:45;Cartão de credito;321,44;4,761904762;16,072;8,3
84;360-39-5055;C;São Jose do rio preto;Membro;Masculino;Esportes e viagens;48,91;5;12,2275;256,7775;03/09/2023;10:17;Dinheiro;244,55;4,761904762;12,2275;6,6
85;730-50-9884;C;São Jose do rio preto;Normal;Feminino;Esportes e viagens;83,06;7;29,071;610,491;03/05/2023;14:31;Carteira eletrônica;581,42;4,761904762;29,071;4
86;362-58-8315;C;São Jose do rio preto;Normal;Masculino;Acessórios de moda;76,52;5;19,13;401,73;3/25/2023;10:23;Dinheiro;382,6;4,761904762;19,13;9,9
87;633-44-8566;A;Mirassol;Membro;Masculino;Alimentos e bebidas;49,38;7;17,283;362,943;3/27/2023;20:35;Cartão de credito;345,66;4,761904762;17,283;7,3
88;504-35-8843;A;Mirassol;Normal;Masculino;Esportes e viagens;42,47;1;2,1235;44,5935;01/02/2023;16:57;Dinheiro;42,47;4,761904762;2,1235;5,7
89;318-68-5053;B;Nova Granada;Normal;Feminino;Saúde e beleza;76,99;6;23,097;485,037;2/27/2023;17:55;Dinheiro;461,94;4,761904762;23,097;6,1
90;565-80-5980;C;São Jose do rio preto;Membro;Feminino;Casa e estilo de vida;47,38;4;9,476;198,996;1/23/2023;10:25;Dinheiro;189,52;4,761904762;9,476;7,1
91;225-32-0908;C;São Jose do rio preto;Normal;Feminino;Esportes e viagens;44,86;10;22,43;471,03;1/26/2023;19:54;Carteira eletrônica;448,6;4,761904762;22,43;8,2
92;873-51-0671;A;Mirassol;Membro;Feminino;Esportes e viagens;21,98;7;7,693;161,553;01/10/2023;16:42;Carteira eletrônica;153,86;4,761904762;7,693;5,1
93;152-08-9985;B;Nova Granada;Membro;Masculino;Saúde e beleza;64,36;9;28,962;608,202;03/12/2023;12:09;Cartão de credito;579,24;4,761904762;28,962;8,6
94;512-91-0811;C;São Jose do rio preto;Normal;Masculino;Saúde e beleza;89,75;1;4,4875;94,2375;02/06/2023;20:05;Cartão de credito;89,75;4,761904762;4,4875;6,6
95;594-34-4444;A;Mirassol;Normal;Masculino;Acessorios Eletronicos;97,16;1;4,858;102,018;03/08/2023;20:38;Carteira eletrônica;97,16;4,761904762;4,858;7,2
96;766-85-7061;B;Nova Granada;Normal;Masculino;Saúde e beleza;87,87;10;43,935;922,635;3/29/2023;10:25;Carteira eletrônica;878,7;4,761904762;43,935;5,1
97;871-39-9221;C;São Jose do rio preto;Normal;Feminino;Acessorios Eletronicos;12,45;6;3,735;78,435;02/09/2023;13:11;Dinheiro;74,7;4,761904762;3,735;4,1
98;865-92-6136;A;Mirassol;Normal;Masculino;Alimentos e bebidas;52,75;3;7,9125;166,1625;3/23/2023;10:16;Carteira eletrônica;158,25;4,761904762;7,9125;9,3
99;733-01-9107;B;Nova Granada;Normal;Masculino;Casa e estilo de vida;82,7;6;24,81;521,01;03/05/2023;18:14;Dinheiro;496,2;4,761904762;24,81;7,4
100;163-56-7055;C;São Jose do rio preto;Membro;Masculino;Acessórios de moda;48,71;1;2,4355;51,1455;3/26/2023;19:20;Dinheiro;48,71;4,761904762;2,4355;4,1
101;189-98-2939;C;São Jose do rio preto;Normal;Masculino;Acessórios de moda;78,55;9;35,3475;742,2975;03/01/2023;13:22;Dinheiro;706,95;4,761904762;35,3475;7,2
102;551-21-3069;C;São Jose do rio preto;Normal;Feminino;Acessorios Eletronicos;23,07;9;10,3815;218,0115;02/01/2023;11:27;Dinheiro;207,63;4,761904762;10,3815;4,9
103;212-62-1842;A;Mirassol;Normal;Masculino;Alimentos e bebidas;58,26;6;17,478;367,038;3/28/2023;16:44;Dinheiro;349,56;4,761904762;17,478;9,9
104;716-39-1409;B;Nova Granada;Normal;Masculino;Saúde e beleza;30,35;7;10,6225;223,0725;3/19/2023;18:19;Dinheiro;212,45;4,761904762;10,6225;8
105;704-48-3927;A;Mirassol;Membro;Masculino;Acessorios Eletronicos;88,67;10;44,335;931,035;01/12/2023;14:50;Carteira eletrônica;886,7;4,761904762;44,335;7,3
106;628-34-3388;C;São Jose do rio preto;Normal;Masculino;Acessórios de moda;27,38;6;8,214;172,494;01/05/2023;20:54;Cartão de credito;164,28;4,761904762;8,214;7,9
107;630-74-5166;A;Mirassol;Normal;Masculino;Esportes e viagens;62,13;6;18,639;391,419;3/22/2023;20:19;Dinheiro;372,78;4,761904762;18,639;7,4
108;588-01-7461;C;São Jose do rio preto;Normal;Feminino;Alimentos e bebidas;33,98;9;15,291;321,111;3/24/2023;10:43;Dinheiro;305,82;4,761904762;15,291;4,2
109;861-77-0145;C;São Jose do rio preto;Membro;Masculino;Acessorios Eletronicos;81,97;10;40,985;860,685;03/03/2023;14:30;Dinheiro;819,7;4,761904762;40,985;9,2
110;479-26-8945;B;Nova Granada;Membro;Feminino;Esportes e viagens;16,49;2;1,649;34,629;02/05/2023;11:32;Carteira eletrônica;32,98;4,761904762;1,649;4,6
111;210-67-5886;C;São Jose do rio preto;Membro;Feminino;Saúde e beleza;98,21;3;14,7315;309,3615;02/05/2023;10:41;Cartão de credito;294,63;4,761904762;14,7315;7,8
112;227-78-1148;B;Nova Granada;Normal;Feminino;Acessórios de moda;72,84;7;25,494;535,374;2/15/2023;12:44;Dinheiro;509,88;4,761904762;25,494;8,4
113;645-44-1170;A;Mirassol;Membro;Masculino;Casa e estilo de vida;58,07;9;26,1315;548,7615;1/19/2023;20:07;Carteira eletrônica;522,63;4,761904762;26,1315;4,3
114;237-01-6122;C;São Jose do rio preto;Membro;Feminino;Casa e estilo de vida;80,79;9;36,3555;763,4655;02/01/2023;20:31;Cartão de credito;727,11;4,761904762;36,3555;9,5
115;225-98-1496;C;São Jose do rio preto;Normal;Feminino;Acessórios de moda;27,02;3;4,053;85,113;03/02/2023;13:01;Cartão de credito;81,06;4,761904762;4,053;7,1
116;291-32-1427;B;Nova Granada;Membro;Masculino;Acessórios de moda;21,94;5;5,485;115,185;03/05/2023;12:29;Carteira eletrônica;109,7;4,761904762;5,485;5,3
117;659-65-8956;B;Nova Granada;Membro;Masculino;Acessórios de moda;51,36;1;2,568;53,928;1/16/2023;15:26;Carteira eletrônica;51,36;4,761904762;2,568;5,2
118;642-32-2990;A;Mirassol;Normal;Feminino;Alimentos e bebidas;10,96;10;5,48;115,08;02/02/2023;20:48;Carteira eletrônica;109,6;4,761904762;5,48;6
119;378-24-2715;B;Nova Granada;Normal;Masculino;Casa e estilo de vida;53,44;2;5,344;112,224;1/20/2023;20:38;Carteira eletrônica;106,88;4,761904762;5,344;4,1
120;638-60-7125;A;Mirassol;Normal;Feminino;Acessorios Eletronicos;99,56;8;39,824;836,304;2/14/2023;17:03;Cartão de credito;796,48;4,761904762;39,824;5,2
121;659-36-1684;C;São Jose do rio preto;Membro;Masculino;Esportes e viagens;57,12;7;19,992;419,832;01/12/2023;12:02;Cartão de credito;399,84;4,761904762;19,992;6,5
122;219-22-9386;B;Nova Granada;Membro;Masculino;Esportes e viagens;99,96;9;44,982;944,622;03/09/2023;17:26;Cartão de credito;899,64;4,761904762;44,982;4,2
123;336-78-2147;C;São Jose do rio preto;Membro;Masculino;Casa e estilo de vida;63,91;8;25,564;536,844;3/13/2023;19:52;Cartão de credito;511,28;4,761904762;25,564;4,6
124;268-27-6179;B;Nova Granada;Membro;Feminino;Acessórios de moda;56,47;8;22,588;474,348;03/09/2023;14:57;Carteira eletrônica;451,76;4,761904762;22,588;7,3
125;668-90-8900;A;Mirassol;Normal;Feminino;Casa e estilo de vida;93,69;7;32,7915;688,6215;03/10/2023;18:44;Cartão de credito;655,83;4,761904762;32,7915;4,5
126;870-54-3162;A;Mirassol;Normal;Feminino;Esportes e viagens;32,25;5;8,0625;169,3125;1/27/2023;13:26;Dinheiro;161,25;4,761904762;8,0625;9
127;189-08-9157;C;São Jose do rio preto;Normal;Feminino;Acessórios de moda;31,73;9;14,2785;299,8485;01/08/2023;16:17;Cartão de credito;285,57;4,761904762;14,2785;5,9
128;663-86-9076;C;São Jose do rio preto;Membro;Feminino;Alimentos e bebidas;68,54;8;27,416;575,736;01/08/2023;15:57;Carteira eletrônica;548,32;4,761904762;27,416;8,5
129;549-84-7482;B;Nova Granada;Normal;Feminino;Esportes e viagens;90,28;9;40,626;853,146;02/08/2023;11:15;Carteira eletrônica;812,52;4,761904762;40,626;7,2
130;191-10-6171;B;Nova Granada;Normal;Feminino;Acessórios de moda;39,62;7;13,867;291,207;1/25/2023;13:18;Dinheiro;277,34;4,761904762;13,867;7,5
131;802-70-5316;A;Mirassol;Membro;Feminino;Esportes e viagens;92,13;6;27,639;580,419;03/06/2023;20:34;Dinheiro;552,78;4,761904762;27,639;8,3
132;695-51-0018;B;Nova Granada;Normal;Feminino;Esportes e viagens;34,84;4;6,968;146,328;02/10/2023;18:36;Dinheiro;139,36;4,761904762;6,968;7,4
133;590-83-4591;B;Nova Granada;Membro;Masculino;Acessorios Eletronicos;87,45;6;26,235;550,935;2/17/2023;14:40;Cartão de credito;524,7;4,761904762;26,235;8,8
134;483-71-1164;C;São Jose do rio preto;Normal;Feminino;Saúde e beleza;81,3;6;24,39;512,19;03/08/2023;16:43;Carteira eletrônica;487,8;4,761904762;24,39;5,3
135;597-78-7908;C;São Jose do rio preto;Normal;Masculino;Acessórios de moda;90,22;3;13,533;284,193;2/18/2023;19:39;Dinheiro;270,66;4,761904762;13,533;6,2
136;700-81-1757;A;Mirassol;Normal;Feminino;Acessorios Eletronicos;26,31;5;6,5775;138,1275;1/18/2023;20:59;Cartão de credito;131,55;4,761904762;6,5775;8,8
137;354-39-5160;A;Mirassol;Membro;Feminino;Casa e estilo de vida;34,42;6;10,326;216,846;2/18/2023;15:39;Dinheiro;206,52;4,761904762;10,326;9,8
138;241-72-9525;B;Nova Granada;Normal;Masculino;Esportes e viagens;51,91;10;25,955;545,055;2/16/2023;12:21;Dinheiro;519,1;4,761904762;25,955;8,2
139;575-30-8091;A;Mirassol;Normal;Masculino;Esportes e viagens;72,5;8;29;609;3/16/2023;19:25;Carteira eletrônica;580;4,761904762;29;9,2
140;731-81-9469;C;São Jose do rio preto;Membro;Feminino;Esportes e viagens;89,8;10;44,9;942,9;1/23/2023;13:00;Cartão de credito;898;4,761904762;44,9;5,4
141;280-17-4359;C;São Jose do rio preto;Membro;Masculino;Saúde e beleza;90,5;10;45,25;950,25;1/25/2023;13:48;Dinheiro;905;4,761904762;45,25;8,1
142;338-65-2210;C;São Jose do rio preto;Membro;Feminino;Saúde e beleza;68,6;10;34,3;720,3;02/05/2023;19:57;Dinheiro;686;4,761904762;34,3;9,1
143;488-25-4221;C;São Jose do rio preto;Membro;Feminino;Alimentos e bebidas;30,41;1;1,5205;31,9305;2/22/2023;10:36;Cartão de credito;30,41;4,761904762;1,5205;8,4
144;239-10-7476;A;Mirassol;Normal;Feminino;Casa e estilo de vida;77,95;6;23,385;491,085;1/21/2023;16:37;Carteira eletrônica;467,7;4,761904762;23,385;8
145;458-41-1477;C;São Jose do rio preto;Normal;Feminino;Saúde e beleza;46,26;6;13,878;291,438;03/08/2023;17:11;Cartão de credito;277,56;4,761904762;13,878;9,5
146;685-64-1609;A;Mirassol;Membro;Feminino;Acessórios de moda;30,14;10;15,07;316,47;02/10/2023;12:28;Carteira eletrônica;301,4;4,761904762;15,07;9,2
147;568-90-5112;C;São Jose do rio preto;Normal;Masculino;Saúde e beleza;66,14;4;13,228;277,788;3/19/2023;12:46;Cartão de credito;264,56;4,761904762;13,228;5,6
148;262-47-2794;B;Nova Granada;Membro;Masculino;Casa e estilo de vida;71,86;8;28,744;603,624;03/06/2023;15:07;Cartão de credito;574,88;4,761904762;28,744;6,2
149;238-49-0436;A;Mirassol;Normal;Masculino;Saúde e beleza;32,46;8;12,984;272,664;3/27/2023;13:48;Cartão de credito;259,68;4,761904762;12,984;4,9
150;608-96-3517;B;Nova Granada;Membro;Feminino;Acessórios de moda;91,54;4;18,308;384,468;3/23/2023;19:20;Cartão de credito;366,16;4,761904762;18,308;4,8
151;584-86-7256;C;São Jose do rio preto;Membro;Masculino;Esportes e viagens;34,56;7;12,096;254,016;03/11/2023;16:07;Cartão de credito;241,92;4,761904762;12,096;7,3
152;746-94-0204;A;Mirassol;Normal;Masculino;Acessórios de moda;83,24;9;37,458;786,618;1/29/2023;11:56;Cartão de credito;749,16;4,761904762;37,458;7,4
153;214-17-6927;C;São Jose do rio preto;Normal;Feminino;Alimentos e bebidas;16,48;6;4,944;103,824;02/07/2023;18:23;Carteira eletrônica;98,88;4,761904762;4,944;9,9
